Date,Time,Species,Count
4/21/15,17:13:33,Herring,1
4/21/15,17:22:29,Herring,1
4/21/15,18:51:1,Herring,1
4/22/15,22:41:53,Herring,1
4/23/15,1:34:23,Herring,1
4/23/15,10:47:44,Herring,1
4/23/15,12:4:7,Herring,1
4/23/15,14:35:24,Herring,1
4/23/15,15:2:11,Herring,1
4/23/15,17:26:30,Herring,1
4/24/15,15:29:29,Herring,1
4/24/15,16:14:23,Herring,1
4/25/15,11:29:6,Herring,1
4/25/15,13:50:12,Herring,1
4/25/15,15:40:17,Herring,1
4/25/15,16:17:37,Herring,1
4/28/15,18:28:5,Herring,2
4/28/15,19:15:9,Herring,2
4/29/15,7:44:18,Herring,1
4/29/15,13:30:50,Herring,1
4/29/15,19:46:30,Herring,1
4/30/15,21:28:38,Herring,1
5/1/15,7:36:1,Herring,1
5/1/15,16:20:26,Herring,1
5/1/15,16:53:23,Herring,1
5/1/15,17:31:1,Herring,1
5/2/15,11:32:29,Herring,1
5/3/15,1:36:0,Herring,1
5/3/15,15:48:2,Herring,2
5/3/15,16:13:51,Herring,2
5/3/15,16:25:9,Herring,2
5/3/15,16:26:57,Herring,1
5/3/15,17:3:56,Herring,1
5/3/15,18:48:13,Herring,6
5/3/15,18:54:33,Herring,2
5/3/15,19:49:37,Herring,1
5/4/15,0:9:30,Herring,1
5/4/15,6:20:57,Herring,1
5/4/15,9:57:35,Herring,1
5/4/15,9:57:52,Herring,1
5/4/15,10:47:41,Herring,2
5/4/15,11:38:6,Herring,1
5/4/15,13:44:7,Herring,1
5/4/15,14:59:38,Herring,1
5/4/15,16:52:37,Herring,2
5/4/15,17:21:38,Herring,1
5/4/15,17:34:14,Herring,1
5/4/15,18:35:15,Herring,1
5/4/15,19:29:40,Herring,3
5/4/15,19:52:3,Herring,1
5/4/15,20:6:21,Herring,1
5/4/15,21:3:4,Herring,1
5/5/15,4:1:57,Herring,1
5/5/15,4:57:22,Herring,4
5/5/15,8:53:12,Herring,1
5/5/15,9:50:2,Herring,2
5/5/15,11:48:12,Herring,1
5/5/15,12:12:5,Herring,1
5/5/15,15:7:5,Herring,1
5/5/15,16:59:19,Herring,1
5/5/15,17:53:59,Herring,1
5/5/15,19:57:53,Herring,1
5/5/15,20:1:28,Herring,1
5/5/15,20:8:50,Herring,3
5/6/15,0:12:1,Herring,1
5/6/15,0:18:39,Herring,1
5/6/15,8:16:28,Herring,3
5/6/15,9:43:52,Herring,1
5/6/15,9:55:45,Herring,2
5/6/15,16:31:36,Herring,1
5/6/15,16:42:0,Herring,1
5/6/15,16:51:59,Herring,1
5/6/15,16:54:29,Herring,1
5/6/15,17:5:41,Herring,1
5/6/15,17:52:41,Herring,4
5/6/15,20:0:5,Herring,2
5/6/15,20:4:48,Herring,1
5/6/15,20:47:1,Herring,1
5/7/15,0:22:51,Herring,1
5/7/15,4:16:3,Herring,1
5/7/15,5:41:22,Herring,2
5/7/15,5:52:13,Herring,5
5/7/15,6:6:44,Herring,2
5/7/15,6:44:52,Herring,1
5/7/15,10:29:24,Herring,1
5/7/15,16:23:47,Herring,3
5/7/15,16:25:48,Herring,2
5/7/15,16:27:53,Herring,3
5/7/15,16:52:55,Herring,1
5/7/15,17:1:3,Herring,1
5/7/15,17:2:27,Herring,1
5/7/15,17:11:49,Herring,3
5/7/15,17:15:19,Herring,1
5/7/15,20:4:54,Herring,2
5/7/15,20:46:10,Herring,1
5/7/15,21:33:14,Herring,1
5/7/15,22:17:15,Herring,1
5/7/15,23:3:36,Herring,1
5/8/15,5:53:28,Herring,1
5/8/15,10:4:0,Herring,3
5/8/15,13:4:11,Herring,1
5/8/15,13:31:5,Herring,1
5/8/15,13:41:59,Herring,1
5/8/15,15:22:40,Herring,2
5/8/15,17:16:12,Herring,2
5/8/15,17:21:12,Herring,3
5/8/15,17:48:47,Herring,2
5/8/15,17:51:39,Herring,3
5/9/15,21:55:30,Herring,1
5/9/15,23:24:3,Herring,1
5/10/15,4:4:25,Herring,1
5/10/15,5:49:40,Herring,4
5/10/15,5:58:13,Herring,2
5/10/15,12:53:45,Herring,1
5/10/15,12:57:30,Herring,1
5/10/15,13:11:35,Herring,1
5/10/15,13:16:0,Herring,2
5/10/15,13:30:44,Herring,1
5/10/15,13:31:21,Herring,2
5/10/15,13:44:16,Herring,2
5/10/15,14:19:31,Herring,3
5/10/15,14:43:27,Herring,3
5/10/15,15:52:57,Herring,3
5/10/15,17:39:4,Herring,1
5/10/15,20:3:47,Herring,2
5/10/15,22:1:25,Herring,1
5/11/15,2:10:7,Herring,1
5/11/15,16:11:2,Herring,1
5/11/15,18:41:49,Herring,2
5/11/15,18:51:24,Herring,2
5/11/15,19:3:18,Herring,1
5/11/15,19:7:37,Herring,2
5/11/15,19:7:57,Herring,2
5/11/15,20:3:16,Herring,1
5/12/15,0:20:2,Herring,1
5/12/15,0:42:31,Herring,1
5/12/15,5:38:53,Herring,1
5/12/15,5:42:19,Herring,1
5/12/15,5:46:1,Herring,2
5/12/15,5:50:58,Herring,2
5/12/15,5:54:49,Herring,1
5/12/15,13:28:49,Herring,1
5/12/15,14:52:1,Herring,4
5/12/15,18:4:34,Herring,1
5/12/15,19:19:15,Herring,2
5/12/15,20:11:31,Herring,1
5/12/15,20:13:15,Herring,2
5/12/15,20:26:51,Herring,1
5/12/15,0:3:16,Herring,1
5/12/15,4:55:33,Herring,1
5/12/15,11:18:7,Herring,1
5/17/15,5:16:10,Herring,9
5/17/15,7:46:41,Herring,3
5/17/15,20:44:38,Herring,1
5/18/15,4:44:33,Herring,1
5/18/15,5:49:59,Herring,1
5/18/15,12:52:15,Herring,1
5/18/15,17:21:4,Herring,1
5/18/15,22:7:21,Herring,1
5/18/15,22:28:59,Herring,1
5/18/15,22:33:39,Herring,1
5/19/15,4:6:50,Herring,1
5/19/15,6:9:16,Herring,3
5/19/15,9:54:20,Herring,1
5/19/15,18:45:26,Herring,2
5/19/15,20:54:6,Herring,1
5/19/15,21:9:40,Herring,1
5/19/15,23:52:23,Herring,1
5/20/15,0:2:32,Herring,1
5/20/15,0:3:47,Herring,1
5/20/15,0:11:22,Herring,1
5/20/15,0:36:34,Herring,1
5/20/15,0:43:30,Herring,1
5/20/15,0:46:35,Herring,1
5/20/15,1:40:6,Herring,1
5/20/15,2:15:44,Herring,1
5/20/15,10:39:50,Herring,1
5/20/15,20:25:30,Herring,2
5/20/15,21:14:53,Herring,1
5/20/15,21:37:55,Herring,1
5/20/15,22:1:43,Herring,1
5/20/15,23:54:37,Herring,1
5/20/15,23:54:49,Herring,1
5/21/15,4:7:38,Herring,1
5/21/15,21:34:53,Herring,1
5/21/15,22:18:16,Herring,1
5/21/15,22:20:21,Herring,1
5/21/15,23:2:5,Herring,1
5/21/15,23:2:19,Herring,1
5/21/15,23:3:41,Herring,1
5/22/15,2:19:52,Herring,3
5/22/15,20:23:53,Herring,1
5/22/15,20:26:15,Herring,1
5/22/15,20:50:6,Herring,1
5/22/15,21:13:40,Herring,1
5/22/15,21:25:42,Herring,1
5/22/15,22:25:16,Herring,1
5/22/15,22:32:5,Herring,1
5/22/15,23:6:53,Herring,1
5/22/15,23:55:11,Herring,1
5/23/15,0:5:50,Herring,1
5/23/15,3:23:38,Herring,1
5/23/15,3:54:20,Herring,1
5/23/15,18:0:22,Herring,1
5/23/15,20:37:19,Herring,1
5/23/15,20:37:40,Herring,1
5/23/15,20:45:46,Herring,1
5/23/15,21:1:56,Herring,1
5/23/15,22:23:47,Herring,1
5/23/15,23:34:0,Herring,1
5/23/15,23:38:7,Herring,1
5/24/15,0:2:31,Herring,1
5/24/15,1:51:7,Herring,1
5/24/15,5:0:43,Herring,1
5/24/15,20:5:52,Herring,1
5/24/15,20:21:53,Herring,1
5/24/15,20:47:44,Herring,1
5/24/15,20:48:11,Herring,1
5/24/15,21:51:29,Herring,1
5/25/15,1:2:43,Herring,1
5/25/15,1:44:13,Herring,1
5/25/15,4:5:17,Herring,1
5/25/15,4:6:36,Herring,1
5/25/15,4:7:45,Herring,1
5/25/15,4:15:9,Herring,1
5/25/15,4:17:53,Herring,2
5/25/15,5:2:16,Herring,1
5/25/15,20:5:44,Herring,1
5/25/15,20:7:10,Herring,1
5/25/15,20:14:40,Herring,1
5/25/15,20:36:1,Herring,1
5/25/15,20:40:42,Herring,1
5/25/15,21:44:18,Herring,1
5/25/15,21:44:32,Herring,1
5/25/15,22:1:35,Herring,1
5/25/15,22:3:41,Herring,1
5/25/15,22:13:39,Herring,1
5/25/15,22:41:4,Herring,1
5/26/15,0:36:44,Herring,1
5/26/15,0:39:42,Herring,1
5/26/15,1:9:47,Herring,1
5/26/15,1:46:10,Herring,1
5/26/15,1:52:24,Herring,1
5/26/15,3:10:8,Herring,1
5/26/15,4:58:43,Herring,1
5/26/15,20:54:16,Herring,1
5/26/15,21:13:29,Herring,1
5/26/15,21:19:50,Herring,1
5/26/15,22:48:40,Herring,1
5/27/15,1:45:23,Herring,1
5/27/15,3:18:10,Herring,1
5/27/15,3:42:21,Herring,1
5/27/15,4:52:1,Herring,1
5/27/15,10:56:21,Herring,1
5/27/15,18:50:23,Herring,1
5/27/15,21:6:41,Herring,1
5/27/15,21:13:15,Herring,1
5/27/15,21:35:27,Herring,1
5/27/15,22:21:19,Herring,1
5/27/15,22:23:13,Herring,1
5/27/15,23:0:41,Herring,1
5/27/15,23:5:27,Herring,1
5/27/15,23:21:10,Herring,1
5/28/15,0:35:34,Herring,1
5/28/15,0:35:44,Herring,1
5/28/15,2:12:58,Herring,1
5/28/15,2:27:3,Herring,1
5/28/15,2:51:41,Herring,1
5/28/15,4:3:34,Herring,1
5/28/15,20:29:42,Herring,1
5/28/15,20:42:36,Herring,2
5/28/15,21:9:15,Herring,1
5/28/15,22:43:37,Herring,1
5/28/15,22:43:59,Herring,1
5/29/15,0:24:59,Herring,1
5/29/15,0:32:31,Herring,1
5/29/15,0:36:1,Herring,1
5/29/15,0:37:29,Herring,1
5/29/15,1:38:32,Herring,1
5/29/15,2:4:2,Herring,1
5/29/15,2:7:59,Herring,1
5/29/15,18:10:49,Herring,1
5/29/15,19:45:52,Herring,1
5/29/15,20:30:23,Herring,1
5/29/15,21:43:17,Herring,1
5/30/15,2:29:14,Herring,1
5/30/15,4:22:58,Herring,1
5/30/15,18:4:29,Herring,1
5/30/15,21:5:4,Herring,1
5/30/15,21:32:13,Herring,1
5/30/15,21:41:57,Herring,1
5/30/15,23:39:49,Herring,2
5/31/15,2:4:40,Herring,1
5/31/15,2:19:50,Herring,1
5/31/15,3:37:43,Herring,1
5/31/15,18:45:47,Herring,1
5/31/15,20:30:43,Herring,1
5/31/15,21:7:25,Herring,1
6/1/15,1:5:22,Herring,1
6/1/15,3:43:41,Herring,1
6/1/15,4:55:2,Herring,1
6/1/15,20:58:41,Herring,1
6/2/15,0:45:32,Herring,1
6/2/15,19:43:59,Herring,1
6/5/15,4:9:43,Herring,1
6/5/15,5:39:14,Herring,1
6/5/15,22:50:37,Herring,1
6/7/15,3:46:22,Herring,1
6/7/15,20:54:25,Herring,1
6/7/15,21:3:31,Herring,1
6/7/15,22:42:28,Herring,1
6/8/15,13:9:39,Herring,1
6/8/15,20:26:15,Herring,1
6/8/15,20:56:45,Herring,2
6/9/15,0:16:55,Herring,1
6/9/15,2:26:5,Herring,1
6/9/15,20:32:37,Herring,1
6/9/15,20:40:58,Herring,1
6/9/15,22:13:32,Herring,1
6/10/15,0:14:51,Herring,1
6/10/15,17:30:35,Herring,1
6/10/15,18:45:48,Herring,1
6/10/15,20:42:56,Herring,1
6/10/15,21:0:2,Herring,1
6/10/15,21:1:57,Herring,1
6/10/15,22:26:15,Herring,1
6/10/15,22:31:51,Herring,1
6/10/15,23:18:14,Herring,1
6/11/15,2:21:9,Herring,1
6/11/15,2:43:29,Herring,1
6/11/15,4:10:43,Herring,1